 3:25:42|     0.0001|    LIB.LOG|  INFO| Log started at Sun Aug 22 03:25:42 2021
 3:25:42|     0.0013|       MAIN|  OKAY| Imported: colorama
 3:25:42|     0.0015|       MAIN|  OKAY| Imported: datetime.datetime
 3:25:42|     0.0017|       MAIN|  OKAY| Imported: pytz
 3:25:42|     0.0018|       MAIN|  OKAY| Imported: time.perf_counter
 3:25:42|     0.0020|       MAIN|  OKAY| Imported: requests
 3:25:42|     0.0021|       MAIN|  OKAY| Imported: json
 3:25:42|     0.0023|       MAIN|  INFO| Fetching User Data                              ● WAIT
 3:25:42|     0.1451|       MAIN|  OKAY| Fetching Repository Data                        ✓ OKAY
 3:25:42|     0.1457|       MAIN|  INFO| Fetching Repository Data                        ● WAIT
 3:25:42|     0.2979|       MAIN|  OKAY| Fetching Repository Data                        ✓ OKAY
 3:25:42|     0.2982|       MAIN|  INFO| Generating README file
 3:25:42|     0.2983|       MAIN|  INFO| Opening Template File                           ● WAIT
 3:25:42|     0.2985|       MAIN|  OKAY| Opening Template File                           ✓ OKAY
 3:25:42|     0.2987|       MAIN|  INFO| Processing Placeholder: STARS                   ● WAIT
 3:25:42|     0.3000|       MAIN|  OKAY| Processing Placeholder: STARS                   ✓ OKAY
 3:25:42|     0.3011|       MAIN|  INFO| Processing Placeholder: REPOS                   ● WAIT
 3:25:42|     0.3013|       MAIN|  OKAY| Processing Placeholder: REPOS                   ✓ OKAY
 3:25:42|     0.3024|       MAIN|  INFO| Processing Placeholder: FOLLOWERS               ● WAIT
 3:25:42|     0.3026|       MAIN|  OKAY| Processing Placeholder: FOLLOWERS               ✓ OKAY
 3:25:42|     0.3032|       MAIN|  INFO| Processing Placeholder: TIME                    ● WAIT
 3:25:42|     0.3231|       MAIN|  OKAY| Processing Placeholder: TIME                    ✓ OKAY
 3:25:42|     0.3233|       MAIN|  INFO| Processing Placeholder: REPOLISTS               ● WAIT
 3:25:42|     0.3237|       MAIN|  OKAY| Processing Placeholder: REPOLISTS               ✓ OKAY
 3:25:42|     0.3238|       MAIN|  INFO| Processing Placeholder: RUNTIME                 ● WAIT
 3:25:42|     0.3240|       MAIN|  OKAY| Processing Placeholder: RUNTIME                 ✓ OKAY
 3:25:42|     0.3241|       MAIN|  INFO| Writing README File                             ● WAIT
 3:25:42|     0.3243|       MAIN|  OKAY| Writing README File                             ✓ OKAY
 3:25:42|     0.3247|    LIB.LOG|  INFO| Program ended
